eval mean 100 episode reward,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval_returns,eval_discount_q,eval_eplenmean,total timesteps,eval_qs_difference,eval_abs_qs_difference
,,,,,,,79058,,
1493.3,10,294.16058,1362.0556104545453,1186.8813169054176,245.2794195493926,409.6363636363636,80001,21.655819185232176,25.738615
,,,,,,,80209,,
1477.3,8,285.36783,972.553514909091,990.8981971486241,230.37143647522237,304.6363636363636,81001,40.99669398636277,42.838493
,,,,,,,81225,,
1414.3,6,275.51364,736.4310642727272,738.2168106458206,221.58864645576503,234.72727272727272,82001,55.255585885139766,56.313988
,,,,,,,82089,,
1323.2,1,261.21356,109.07736909090909,79.08125798757774,76.83639526536408,62.27272727272727,83001,214.08867477924608,215.60156
,,,,,,,83217,,
1120.3,6,269.095,788.4489185454545,774.4283346074268,228.22319931043359,246.54545454545453,84001,40.970998803862294,45.634792
,,,,,,,84314,,
1134.8,6,261.4317,769.6357212727272,795.1152258354055,224.30325568816681,238.8181818181818,85001,32.174110790660485,33.631985
,,,,,,,85269,,
,,,,,,,85819,,
929.7,5,261.40106,725.599556090909,694.0548452718243,218.1805913824367,231.8181818181818,86001,42.55252186728062,45.871536
,,,,,,,86426,,
816.0,5,268.46844,685.5082873636364,652.2412150785731,219.9932660299003,220.9090909090909,87001,57.30489611164346,61.61815
,,,,,,,87466,,
784.4,7,267.1495,875.4718264545455,942.1231241682591,235.95904255697934,273.3636363636364,88001,32.867930433396324,41.649647
,,,,,,,88171,,
742.8,7,274.9302,911.5673433636363,892.9412815779085,230.11218641167144,290.27272727272725,89001,39.82241875768711,42.640232
,,,,,,,89389,,
712.0,6,272.65695,759.3816689090909,752.9837852524938,213.36654726840052,256.09090909090907,90001,58.768017557288,61.873245
,,,,,,,90514,,
714.4,6,269.2056,810.3631065454545,824.6292483989582,222.0157347183623,264.1818181818182,91001,45.67446884128439,50.366356
,,,,,,,91479,,
705.1,1,271.9045,76.9470181818182,76.91331519571541,61.13363035409214,45.36363636363637,92001,235.70014311976254,235.70013
,,,,,,,92325,,
776.0,11,299.32236,1420.9958895454545,1339.2832047198053,247.79046322168415,433.54545454545456,93001,28.150654497042854,29.297472
,,,,,,,93253,,
799.4,7,280.77124,943.8696023636365,932.0122261613462,225.3954190121083,307.09090909090907,94001,46.19086740467097,50.038563
,,,,,,,94538,,
824.5,7,277.33133,977.2887175454545,1006.2426938386506,238.85664854997916,295.8181818181818,95001,27.15350700272758,29.550087
,,,,,,,95677,,
911.0,12,303.65726,1535.0639368181817,1629.3049706363752,243.29346013744387,460.8181818181818,96001,22.90340546707773,25.117311
,,,,,,,96895,,
977.8,10,301.36288,1416.6192938181819,1330.095940386554,248.81456292536868,414.45454545454544,97001,19.418746671365955,21.634449
1194.0,25,332.60007,3032.455526181818,3000.7029623559765,242.12671468787985,1000.0,98001,53.32507036406225,53.53004
,,,,,,,98434,,
1253.1,8,290.27914,1145.2261069090907,1105.116844003304,243.54909327486723,346.45454545454544,99001,29.365090290859598,30.459766
,,,,,,,99949,,
1399.6,16,311.6389,2180.9123337272727,1698.5550141385643,252.90685345222644,629.3636363636364,100001,7.585858488594216,13.879228
1463.2,5,260.09467,696.5014338181819,673.7487291512531,219.05454398389185,223.27272727272728,101001,45.43862187553252,48.84293
,,,,,,,101648,,
1659.5,25,336.22327,3192.096482636364,3162.814094001497,238.59699918485958,1000.0,102001,40.63472402181905,41.77085
1810.3,17,314.44916,2331.0536994545455,2499.5456370132893,246.12637049750595,663.8181818181819,103001,1.5845640646977224,12.306983
,,,,,,,103699,,
1895.4,12,319.9883,1567.315252,525.5554744430029,222.08107330006953,487.90909090909093,104001,79.57630771745521,81.668365
,,,,,,,104548,,
1956.8,17,315.3423,2226.5310922727276,3163.6273638925027,245.24392102685152,685.7272727272727,105001,27.59980258677565,29.475056
,,,,,,,105745,,
1927.0,8,280.58844,1023.2948889999999,1244.6165777077356,225.58797677904312,309.8181818181818,106001,36.274817909912095,41.587738
,,,,,,,106812,,
1736.1,7,292.9729,961.7794785454545,956.7182165726708,243.5261897833453,291.6363636363636,107001,45.82764007723705,47.990856
1711.2,9,298.13733,1295.9043800909092,1392.7180203572395,242.53872228321023,379.6363636363636,108001,20.40357899500701,22.288082
,,,,,,,108262,,
1818.1,26,340.33728,3224.817688,3228.7917830930533,250.13079482648234,1000.0,109001,42.61847401612603,43.988815
,,,,,,,109516,,
1852.9,8,284.1263,983.9535858181818,969.0932335822752,242.03600211228678,294.54545454545456,110001,31.459940225776,32.551212
,,,,,,,110727,,
1661.7,8,284.32767,1000.7289728181819,980.882298329451,245.3034214353537,290.45454545454544,111001,23.503417449512224,25.161959
,,,,,,,111817,,
1508.3,9,290.3638,1153.2952436363637,1317.741190970401,246.37718685278486,329.09090909090907,112001,15.568271383148192,22.391596
1358.9,2,316.42285,215.34643290909088,211.90051782845848,125.73568376447155,98.45454545454545,113001,224.13559530284584,224.13559
,,,,,,,113098,,
1255.8,9,287.5348,1185.480896,1144.4178588944346,250.0712705792134,338.09090909090907,114001,10.495381296102122,18.686668
,,,,,,,114216,,
1241.8,9,292.8866,1146.4325583636364,1125.7531594915704,245.30139436398824,337.3636363636364,115001,25.501710916091454,28.710884
,,,,,,,115501,,
1239.6,8,296.2027,973.7972652727273,940.4615680034628,242.70113267507412,294.6363636363636,116001,47.273707630850616,48.36177
,,,,,,,116579,,
1161.6,4,326.203,455.0482000909091,453.6238670168421,189.57271370925557,167.63636363636363,117001,166.7097195105629,166.70973
,,,,,,,117655,,
978.3,10,308.02258,1313.4698235454548,1317.803560365232,251.4826480604577,381.54545454545456,118001,29.478284024035066,31.10011
,,,,,,,118667,,
933.1,7,291.5503,946.3439320909091,934.4058940134488,242.7273166859107,277.6363636363636,119001,37.2636318264105,38.247017
,,,,,,,119645,,
944.1,9,294.48413,1117.0585724545456,1119.320945059099,246.37396864106103,324.3636363636364,120001,25.364625548798696,26.773712
,,,,,,,120909,,
924.8,7,317.40942,879.9371479999999,466.77667734633803,218.95426660425065,276.45454545454544,121001,96.28651744583121,96.643585
985.8,8,297.8304,995.3515365454547,994.3642163867089,243.9910282906775,296.09090909090907,122001,43.243238151488754,43.657017
,,,,,,,122016,,
,,,,,,,122922,,
949.2,5,236.4873,638.22305,471.2888279966493,219.1128707444571,193.72727272727272,123001,26.517024939690693,40.183163
,,,,,,,123736,,
927.5,8,293.2485,1005.003179909091,1008.4942793818884,237.81258236484848,301.3636363636364,124001,37.89463714197994,39.519077
,,,,,,,124539,,
900.3,7,282.18747,720.5694606363636,671.2350537897144,207.38068685773976,249.72727272727272,125001,76.83316239144507,77.09117
,,,,,,,125687,,
908.9,5,322.001,620.1649299090909,619.1788623732954,218.69903867585992,206.63636363636363,126001,126.65666634881485,126.65667
,,,,,,,126580,,
803.7,2,309.74902,167.42194227272728,168.43458836621778,106.91332830752177,82.63636363636364,127001,235.23326821324963,235.23326
,,,,,,,127537,,
817.6,10,305.14734,1235.1864530909093,1240.1235034002098,250.93051987754723,348.8181818181818,128001,23.545282557769884,27.16538
,,,,,,,128847,,
833.8,9,298.11682,1228.8693235454546,1240.1183808086528,248.0700797276712,347.45454545454544,129001,15.257346633436699,16.936312
,,,,,,,129987,,
840.9,7,293.5632,966.2241854545454,971.3277846727857,248.78304923898088,272.6363636363636,130001,29.507627401874664,31.894073
842.7,8,331.41553,984.0022349090909,948.1936197720498,244.78162821025433,301.90909090909093,131001,86.90627684557761,86.95297
,,,,,,,131033,,
845.3,6,281.23352,748.7347189090909,813.6730307395093,232.0224349989163,223.45454545454547,132001,49.195614459401504,52.661915
,,,,,,,132170,,
860.9,8,294.65662,1065.9489295454548,1019.5843684354005,249.90879561914633,305.8181818181818,133001,27.055477056141044,27.839136
,,,,,,,133271,,
889.7,8,295.08423,1031.596504090909,1025.3589830967815,251.32769239786813,292.72727272727275,134001,27.668814293125457,29.374475
,,,,,,,134401,,
847.4,2,312.13684,178.80649445454546,178.73199573070644,112.34778998328733,85.18181818181819,135001,232.80150217702752,232.8015
,,,,,,,135659,,
939.2,9,302.26242,1180.7443308181819,1235.2751299043061,254.84634808439498,331.1818181818182,136001,22.816003237379867,23.987322
,,,,,,,136951,,
943.6,8,294.16278,969.305178818182,133.85261843304147,226.25644460567253,281.1818181818182,137001,43.81651235903728,45.81478
904.8,7,287.41626,921.885605090909,537.3650890971516,233.05098862603046,271.09090909090907,138001,37.77652034045087,39.329067
,,,,,,,138131,,
