total timesteps,eval_returns,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,eval_eplenmean,eval_qs_difference,eval_qs
83516,,,,,,,,,
84001,561.3217685418975,7,321.4,448.88118745454545,113.14224425145272,126.00341,247.0909090909091,124.36487044130064,250.62491
84035,,,,,,,,,
84873,,,,,,,,,
85001,83.36317463828948,3,315.2,295.0647041818182,129.2717262921826,122.71551,121.81818181818181,119.33406825081647,222.0161
85288,,,,,,,,,
86001,740.7303881721172,9,326.6,535.7568255454545,115.9741970815257,144.44398,321.45454545454544,141.691019979274,254.81578
86143,,,,,,,,,
87001,-69.37018675237266,9,341.7,429.8257097272728,75.44190190979063,164.72906,318.09090909090907,161.72015526024597,241.39409
87141,,,,,,,,,
87520,,,,,,,,,
88001,547.1835324387445,6,389.6,630.0064827272727,185.2139058966209,76.55225,229.63636363636363,74.81951854871694,263.02722
88040,,,,,,,,,
88881,,,,,,,,,
89001,98.58992751672805,2,392.3,98.71732918181819,70.73049825530596,188.1726,76.72727272727273,186.85253611999144,224.22894
89345,,,,,,,,,
90001,679.6078808371544,6,413.5,585.0744998181818,181.78558081190607,92.42846,214.45454545454547,89.72039812665452,268.9944
90066,,,,,,,,,
90968,,,,,,,,,
91001,657.1026198172722,6,431.8,651.0663133636364,194.60540077546466,71.25127,225.0,70.70096673678235,274.26395
91545,,,,,,,,,
92001,34.48841838297849,6,470.7,583.3288552727272,183.34500838165022,99.57192,213.8181818181818,96.71676203753313,273.59982
92422,,,,,,,,,
93001,463.31375045000334,4,454.0,266.8365251818182,112.22963661883445,159.83347,161.36363636363637,158.4541075610479,243.29044
93373,,,,,,,,,
94001,-78.5445694641052,6,438.9,174.71851727272727,68.6648362802636,204.56964,244.0909090909091,203.98259335870605,240.30727
94302,,,,,,,,,
95001,162.4036109208366,3,419.5,292.40738563636364,127.03409186867071,146.46515,128.1818181818182,142.94829882281007,247.34224
95002,,,,,,,,,
95619,,,,,,,,,
96001,435.09343869237887,2,380.0,173.83081363636364,102.28975792658221,163.80206,87.18181818181819,161.843011846048,237.4019
96464,,,,,,,,,
96888,,,,,,,,,
97001,354.2017458235255,3,353.2,308.8765312727273,128.661816816041,145.35666,140.54545454545453,144.17464788857748,260.9177
97373,,,,,,,,,
98001,156.06658125447606,2,354.4,182.94173027272726,105.12883466588177,155.61691,91.9090909090909,149.31538955571318,224.63231
98044,,,,,,,,,
98977,,,,,,,,,
99001,809.1028505835624,4,336.3,389.1092416363636,128.35802728087467,144.95721,151.54545454545453,138.8645082668205,250.14137
99299,,,,,,,,,
99699,,,,,,,,,
100001,-3.51804094538287,4,305.5,288.2397988181818,99.63074409896181,154.90257,165.9090909090909,150.33813643452893,240.08519
100081,,,,,,,,,
100816,,,,,,,,,
101001,162.46242244971126,3,262.6,259.73894972727277,126.44210712485288,151.17615,110.9090909090909,145.51111727838335,247.15121
101620,,,,,,,,,
102001,102.6129725399014,2,244.0,103.90813454545454,74.0701519662173,169.11302,75.9090909090909,166.0872431201144,206.58105
102077,,,,,,,,,
102456,,,,,,,,,
