eval_time_elapsed,eval_discount_q,eval_qs,total timesteps,eval_qs_difference,eval_ep_rewmean,eval_eplenmean,eval_abs_qs_difference,eval_returns,eval mean 100 episode reward
,,,94393,,,,,,
5,207.80741835747634,252.0243,95001,57.32955250669887,598.4778044545454,198.45454545454547,58.95105,647.1673862167095,434.1
,,,95227,,,,,,
,,,95925,,,,,,
4,179.6389183162946,246.9502,96001,92.02880709947637,432.8722570909091,164.45454545454547,92.715,435.2532805527554,475.6
,,,96538,,,,,,
5,204.49238189107837,241.96616,97001,55.947450172148656,578.7777086363637,199.27272727272728,57.529346,414.9866219803895,506.0
,,,97282,,,,,,
4,178.86443627801793,214.1223,98001,59.652035612608536,447.61253763636364,163.8181818181818,63.143436,695.5993116495872,495.5
,,,98051,,,,,,
,,,98774,,,,,,
5,186.43971661062463,224.2709,99001,47.438501354482966,560.2432176363636,193.9090909090909,57.475574,1185.0431217712724,502.7
,,,99465,,,,,,
6,223.33607986264448,250.79457,100001,41.02230110260326,672.3596109090909,212.27272727272728,43.7615,543.9901617004523,543.4
,,,100218,,,,,,
,,,100891,,,,,,
4,206.47755719500444,240.39795,101001,58.07817415166556,525.478245909091,173.45454545454547,60.843323,523.6917227384203,554.4
,,,101526,,,,,,
6,125.30104944764697,222.7022,102001,87.71254760342771,422.0746871818182,208.45454545454547,91.57859,530.4769057018489,528.3
,,,102157,,,,,,
,,,102891,,,,,,
5,210.28306802054576,243.39992,103001,52.1932055082824,569.3376959999999,188.1818181818182,54.01572,601.4537778616043,534.3
,,,103753,,,,,,
5,182.51595918102404,249.32237,104001,85.3554077440884,470.984398,175.8181818181818,86.68507,402.0445322033886,524.2
,,,104431,,,,,,
5,210.9321178966191,252.5787,105001,59.8170093829575,600.5750582727272,202.36363636363637,61.171505,541.1147602814362,536.5
,,,105116,,,,,,
,,,105937,,,,,,
5,213.47394560626432,252.3182,106001,52.83375305039004,621.7841419090909,202.63636363636363,56.27741,623.2210778444529,541.0
,,,106766,,,,,,
4,195.76490971367602,233.39264,107001,59.23098964508301,505.4003158181818,172.1818181818182,63.116837,256.5207375567392,552.6
,,,107551,,,,,,
6,231.24685106407642,262.32132,108001,34.10636599704178,762.4805380909091,231.45454545454547,38.509426,937.4579205422,572.7
,,,108362,,,,,,
6,229.10920384031968,245.22266,109001,11.581882445828496,774.7435612727272,233.36363636363637,25.208496,763.5488195421913,582.0
,,,109164,,,,,,
5,194.90050476416025,249.35649,110001,78.58715534018063,527.7864686363636,192.63636363636363,80.46968,574.0900122680857,583.1
,,,110036,,,,,,
,,,110802,,,,,,
2,102.436793008639,199.4504,111001,130.36433242797386,174.1993180909091,87.36363636363636,134.9625,96.80197221892017,559.6
,,,111536,,,,,,
4,174.5510606222576,227.55006,112001,83.8802611028951,401.9244224545455,153.9090909090909,89.47293,427.0783243854502,540.3
,,,112097,,,,,,
,,,112848,,,,,,
3,144.05895355387534,194.84308,113001,81.64923363601783,304.0205675454545,122.81818181818181,95.33132,95.03556071046829,522.4
,,,113676,,,,,,
5,198.60175165708006,253.36758,114001,71.55480769769925,570.3103972727273,191.8181818181818,74.112595,702.7442195666395,514.1
,,,114381,,,,,,
4,181.53741964689314,244.11284,115001,91.14075734357556,438.91921581818184,164.63636363636363,92.438416,503.97022917337557,499.3
,,,115099,,,,,,
,,,115676,,,,,,
1,75.59664346058062,207.0124,116001,165.32316835444905,103.53509718181819,66.9090909090909,165.92366,92.86574831058105,453.7
,,,116391,,,,,,
5,178.04021539988364,254.77647,117001,99.70575345434919,447.4900996363636,173.9090909090909,100.28105,404.0523296209427,425.5
,,,117022,,,,,,
,,,117784,,,,,,
5,190.77532515513096,244.74017,118001,79.4445173125552,501.00358618181815,182.54545454545453,82.834946,412.5767731737692,392.9
,,,118252,,,,,,
,,,118878,,,,,,
2,100.30200612097416,189.52357,119001,120.06879315725591,178.81399381818184,89.0,130.56009,114.43376534251445,354.1
,,,119242,,,,,,
,,,119973,,,,,,
6,180.16279238818072,252.95743,120001,77.64973438652852,555.8293803636363,215.27272727272728,78.57383,554.7430386780003,382.7
,,,120719,,,,,,
7,188.23282880495654,275.62878,121001,74.71605696099532,706.3428810909091,258.1818181818182,76.73021,666.9169981692098,420.5
,,,121660,,,,,,
5,186.52244126296037,244.81541,122001,80.27213490205264,503.08571945454537,180.8181818181818,83.859795,735.7893032851621,437.6
,,,122372,,,,,,
3,123.5506313172742,198.9563,123001,106.83675899881747,234.9832895454545,105.63636363636364,109.14749,130.80335567720869,414.0
,,,123102,,,,,,
,,,123914,,,,,,
4,179.4087395255964,231.36053,124001,79.49009282614641,442.1730840909091,158.9090909090909,80.78152,238.02306925122568,411.4
,,,124693,,,,,,
6,206.76033460950987,265.9924,125001,66.6389336889752,709.6791614545455,234.8181818181818,72.66003,861.1143046293539,464.0
,,,125352,,,,,,
7,217.63167091082232,281.60736,126001,69.63366625980404,750.5726757272728,248.36363636363637,71.72071,837.2696878021599,505.0
,,,126339,,,,,,
2,119.4379417376531,212.9373,127001,123.29874127890618,226.6045029090909,96.27272727272727,125.453224,148.33468186153823,480.9
,,,127209,,,,,,
,,,127947,,,,,,
2,121.46785394817194,229.12384,128001,140.32086861086825,224.2412135454545,98.63636363636364,140.71527,147.43739846490425,479.7
,,,128616,,,,,,
,,,128947,,,,,,
6,214.46831955893668,263.59274,129001,61.655684229973716,657.2860751818181,212.0,66.397865,654.0881423340251,494.8
,,,129661,,,,,,
6,228.99742345241876,283.7949,130001,62.795366774097424,784.9968002727272,245.63636363636363,67.492195,935.4314819649526,502.8
,,,130574,,,,,,
6,216.68773825232805,287.77695,131001,87.81386075348365,682.7201971818183,231.8181818181818,90.09731,674.5153893879798,522.5
,,,131425,,,,,,
6,222.52828729040394,283.443,132001,69.54874826238469,737.3858082727273,240.63636363636363,74.74719,566.5358720926266,574.1
,,,132332,,,,,,
6,216.77820844477867,280.29837,133001,70.46963466248795,727.3095977272726,241.0,72.79907,756.0607900319868,604.2
,,,133395,,,,,,
7,231.38400913153762,287.35577,134001,55.66082643867335,862.2475372727272,271.0,63.191673,722.2978466463601,626.6
,,,134372,,,,,,
6,214.629383200115,275.35095,135001,61.89655751452704,744.1933074545454,235.36363636363637,71.40413,532.7981912820616,631.6
,,,135124,,,,,,
6,210.61649666985252,289.71188,136001,83.44486370088411,721.2228333636364,239.8181818181818,85.384895,774.4491728836227,670.8
