eval_returns,eval_time_elapsed,eval_qs,eval_abs_qs_difference,eval_discount_q,eval_qs_difference,eval_eplenmean,total timesteps,eval_ep_rewmean,eval mean 100 episode reward
319.2452298186111,3,233.36989,73.863716,287.56783831627905,68.54707857268099,96.9090909090909,58001,451.86174063636366,394.8
,,,,,,,58233,,
,,,,,,,58589,,
,,,,,,,58901,,
383.01090776418897,2,258.56396,89.981636,288.98507350317175,88.59462821535837,87.81818181818181,59001,436.37395318181825,403.5
,,,,,,,59260,,
,,,,,,,59589,,
,,,,,,,59929,,
559.4235830117398,2,268.86246,93.69116,298.29623198569533,90.90902907295384,86.45454545454545,60001,451.3585221818182,409.3
,,,,,,,60258,,
,,,,,,,60589,,
,,,,,,,60930,,
316.2623809857934,2,208.26543,100.313995,207.8790808038767,98.77453632560061,61.63636363636363,61001,273.49865990909086,400.5
,,,,,,,61225,,
,,,,,,,61664,,
315.218160006902,2,221.27122,98.54314,242.11358971875853,92.88096243210715,77.9090909090909,62001,342.32816918181817,392.3
,,,,,,,62040,,
,,,,,,,62440,,
,,,,,,,62830,,
426.738313659043,2,241.02519,81.947,281.80269421298965,79.01614801599095,91.54545454545455,63001,436.3801796363636,383.1
,,,,,,,63149,,
,,,,,,,63394,,
,,,,,,,63658,,
596.9963625897171,2,260.1478,95.83557,290.6801408474667,92.39099181702382,90.81818181818181,64001,444.53858999999994,386.0
,,,,,,,64063,,
,,,,,,,64345,,
,,,,,,,64718,,
633.6405170519962,3,270.53665,106.19743,292.37467214204804,104.47594838244336,95.81818181818181,65001,452.98992318181814,398.3
,,,,,,,65157,,
,,,,,,,65591,,
,,,,,,,65874,,
416.7159429506082,3,244.05411,76.85261,300.41137900128115,69.54348149997561,92.36363636363636,66001,460.33606,416.5
,,,,,,,66237,,
,,,,,,,66565,,
456.1650029298633,3,286.01367,102.105415,314.06607122643334,98.89168939440357,104.45454545454545,67001,518.1979467272728,421.1
,,,,,,,67032,,
,,,,,,,67449,,
,,,,,,,67827,,
446.19849397381375,1,336.9045,232.3394,188.49805844535243,230.8472229397976,51.0,68001,247.12367254545453,403.6
,,,,,,,68226,,
,,,,,,,68532,,
528.357123598655,3,266.29367,94.257805,307.0155186884783,84.63022810887593,104.72727272727273,69001,498.27027127272726,409.0
,,,,,,,69010,,
,,,,,,,69314,,
,,,,,,,69659,,
539.2208620091258,3,258.30286,87.75725,303.617526997452,82.94720288176485,100.81818181818181,70001,481.2055066363636,427.4
,,,,,,,70021,,
,,,,,,,70447,,
,,,,,,,70802,,
445.2022480664724,2,253.06813,101.356,280.73509049667285,95.32372260473011,93.0,71001,435.2038437272727,439.3
,,,,,,,71185,,
,,,,,,,71718,,
293.8490823166918,2,243.21635,112.5619,242.6080787179698,110.34084338297,72.0,72001,337.58216463636364,430.9
,,,,,,,72069,,
,,,,,,,72411,,
,,,,,,,72704,,
1115.0720902284415,3,275.3726,89.08233,319.2933768537725,80.13249747896593,109.0,73001,544.8906957272727,436.3
,,,,,,,73222,,
,,,,,,,73683,,
453.7091242188157,3,248.12218,92.05816,285.8925510439104,88.60997503709774,95.27272727272727,74001,442.0433173636364,441.4
,,,,,,,74174,,
,,,,,,,74674,,
392.63519146900506,3,254.35106,81.21213,308.60455389263217,76.81578877653766,108.63636363636364,75001,502.7457546363637,444.5
,,,,,,,75148,,
,,,,,,,75641,,
503.51687792785333,4,286.92996,81.038055,346.02046105762173,77.8970494134626,134.0,76001,627.7558053636363,460.1
,,,,,,,76131,,
,,,,,,,76543,,
,,,,,,,76938,,
365.8425824744659,3,286.0223,116.842896,295.37140782743865,114.80079852779477,101.36363636363636,77001,476.5576842727273,480.5
,,,,,,,77350,,
,,,,,,,77803,,
625.2670955417568,3,270.4981,93.9335,304.4263583716797,90.3616319977218,97.54545454545455,78001,479.8369565454546,480.7
,,,,,,,78217,,
,,,,,,,78672,,
423.36134091209055,3,265.11273,87.01224,316.38837308314,77.68419130385378,119.45454545454545,79001,548.6797347272727,488.2
,,,,,,,79162,,
,,,,,,,79701,,
625.8741318213968,4,290.7372,78.161476,362.57947948271016,67.9272916587799,145.0,80001,688.6296169090909,513.6
,,,,,,,80211,,
,,,,,,,80572,,
224.10347648048068,2,291.7232,151.68622,251.59142647909403,146.95700919755885,79.27272727272727,81001,376.71091900000005,519.9
,,,,,,,81044,,
,,,,,,,81450,,
,,,,,,,81871,,
410.60575542150474,3,287.28244,104.36042,315.00651417271087,95.47828536180214,103.54545454545455,82001,525.736843,525.5
,,,,,,,82260,,
,,,,,,,82924,,
542.7802273019803,4,283.80692,82.03421,352.6709443113034,70.11880682953151,139.1818181818182,83001,659.0938390000001,539.7
,,,,,,,83362,,
,,,,,,,83951,,
455.6477407105507,3,263.66132,88.4957,309.8451462556965,80.50384391057682,98.36363636363636,84001,491.92018854545455,540.9
,,,,,,,84369,,
,,,,,,,84793,,
782.1790270656433,4,291.99158,81.89663,355.35668016349035,73.44620729721534,127.18181818181819,85001,635.5519491818181,541.5
,,,,,,,85220,,
,,,,,,,85676,,
402.7064940421138,2,248.663,82.12007,297.1986292090652,73.00356247477389,85.9090909090909,86001,446.9804192727272,541.3
,,,,,,,86019,,
,,,,,,,86320,,
,,,,,,,86784,,
655.9352379863342,3,261.97046,71.5801,336.1475492006442,57.98824183285788,115.0,87001,570.3388180000001,547.7
,,,,,,,87295,,
,,,,,,,87688,,
438.33216463671005,3,285.34344,94.320755,340.1123782093819,74.63393218603618,118.54545454545455,88001,609.7906296363636,554.0
,,,,,,,88053,,
,,,,,,,88514,,
,,,,,,,88922,,
574.0705849566383,3,260.09152,66.58528,327.4913526130595,59.38932109738152,101.0,89001,533.0505702727273,542.2
,,,,,,,89465,,
,,,,,,,89895,,
391.91173183872377,4,278.23416,79.408424,339.28061407771054,63.54136907731486,128.72727272727272,90001,648.9518648181818,564.2
,,,,,,,90311,,
,,,,,,,90641,,
618.6117148898594,3,282.01974,97.1248,314.3351515598731,90.9326558735946,99.18181818181819,91001,512.5825209090909,563.9
,,,,,,,91067,,
,,,,,,,91626,,
491.9170717323529,3,270.56787,84.01691,323.4810094792393,73.46858142239995,102.81818181818181,92001,524.9410437272727,554.5
,,,,,,,92145,,
,,,,,,,92705,,
246.9792194197489,3,275.88663,101.30311,299.8030796563204,96.86842111797559,96.81818181818181,93001,482.33081781818186,555.3
,,,,,,,93139,,
,,,,,,,93799,,
438.6437688565875,4,269.0193,77.12285,345.60603808586217,55.65272296412495,131.27272727272728,94001,649.5320482727274,559.7
,,,,,,,94137,,
,,,,,,,94763,,
708.6548098514739,4,289.02914,82.076775,354.1406617895269,71.6477458104154,135.72727272727272,95001,663.7951238181818,573.0
,,,,,,,95188,,
,,,,,,,95832,,
611.3520239814679,4,272.5094,71.38121,354.84368693165374,49.778390671157055,138.0,96001,686.724116090909,590.2
,,,,,,,96288,,
,,,,,,,96922,,
521.0481534184257,3,264.66397,91.12379,317.9990709892541,74.59696688873706,107.0,97001,533.3044593636363,582.8
,,,,,,,97422,,
,,,,,,,97974,,
462.5159090735695,3,287.39194,95.47705,326.7360804508164,86.05622839414328,106.81818181818181,98001,546.1619981818181,582.7
,,,,,,,98363,,
,,,,,,,98910,,
504.2775901724079,4,294.7217,83.80161,358.32456917235515,75.33221981930693,128.72727272727272,99001,642.9887475454545,583.2
,,,,,,,99468,,
,,,,,,,99972,,
426.59809272799566,4,288.3425,83.85364,351.3082573368711,75.16264397041992,134.63636363636363,100001,656.0103044545453,600.4
,,,,,,,100498,,
,,,,,,,100859,,
821.549217033452,4,303.95523,86.0339,355.6310921244634,83.28772032742255,134.9090909090909,101001,672.1384687272727,609.6
,,,,,,,101606,,
446.49123803684506,3,303.207,97.87894,348.6005011773393,89.23733879037795,115.54545454545455,102001,599.3727992727272,623.0
,,,,,,,102124,,
,,,,,,,102637,,
450.3412933941815,3,302.34982,130.69583,304.4566045944794,125.6717322474142,99.9090909090909,103001,487.9847274545455,609.6
,,,,,,,103026,,
,,,,,,,103532,,
350.3594148973446,2,262.28336,100.52974,289.5483253274883,91.94727816070896,82.0,104001,430.051498,586.0
,,,,,,,104010,,
,,,,,,,104440,,
,,,,,,,104957,,
718.9363496123486,3,272.4471,79.87874,328.41940084035616,73.14686997685108,100.81818181818181,105001,532.4615990909091,567.7
,,,,,,,105394,,
,,,,,,,105771,,
528.3118954833333,3,278.0379,73.25715,345.48861108428997,65.70476360934235,118.36363636363636,106001,600.9465859090909,572.5
,,,,,,,106537,,
911.540505359776,4,286.2753,68.200226,378.17420614497547,56.28593918279214,144.27272727272728,107001,712.2254014545454,588.5
,,,,,,,107075,,
,,,,,,,107670,,
582.3454825525163,3,285.60486,83.542725,338.555113625816,79.60082111808165,110.36363636363636,108001,571.0038800909091,584.0
,,,,,,,108204,,
,,,,,,,108671,,
582.0084508065993,4,296.40393,70.523254,373.18097230160276,61.25368432556465,151.45454545454547,109001,756.3846050909091,598.6
,,,,,,,109275,,
,,,,,,,109780,,
220.55320937134945,2,321.57825,161.18417,279.1027908737033,158.60159159547746,85.18181818181819,110001,427.3172061818182,575.6
,,,,,,,110277,,
,,,,,,,110761,,
1261.6912826831979,4,296.3485,87.44736,357.01846072351304,74.00737331703998,147.45454545454547,111001,720.4056831818183,575.6
,,,,,,,111324,,
,,,,,,,111925,,
619.8835607032211,3,300.38953,90.70765,349.1186895583345,85.06613265148053,121.9090909090909,112001,624.5608758181818,593.6
,,,,,,,112360,,
,,,,,,,112979,,
633.0835597633154,3,260.5153,71.723625,329.3326904328482,60.429450548484766,114.63636363636364,113001,572.9584618181818,609.4
,,,,,,,113615,,
660.9436130608962,5,304.41135,77.15809,378.1586271020804,71.32618494118616,153.9090909090909,114001,747.254706090909,639.4
,,,,,,,114144,,
,,,,,,,114643,,
868.3759801835363,5,297.67783,64.12743,386.8987950449463,46.14265336033186,160.54545454545453,115001,819.3698566363636,656.5
,,,,,,,115287,,
,,,,,,,115856,,
863.1300732261506,5,300.47488,64.273415,393.519733459263,44.739119924339576,169.8181818181818,116001,860.7414988181819,677.8
,,,,,,,116535,,
926.9159499221297,3,265.81577,83.53371,324.2848391797606,68.7521397488851,112.54545454545455,117001,568.5130734545454,672.4
,,,,,,,117030,,
,,,,,,,117609,,
1830.4089270548059,5,312.9921,77.84673,388.06535698166914,63.24887401281301,173.63636363636363,118001,863.4232655454547,683.0
,,,,,,,118241,,
,,,,,,,118762,,
1012.0739938631124,4,284.42932,65.756485,364.10792022281544,53.838871431094546,139.1818181818182,119001,704.8750552727273,708.3
,,,,,,,119297,,
,,,,,,,119887,,
662.1248918622972,5,325.09265,97.070755,367.32476126230847,86.90225792725082,162.36363636363637,120001,814.1903026363635,737.6
,,,,,,,120525,,
510.5140422462079,4,296.90857,87.68393,357.43143075599943,83.01690114928569,132.27272727272728,121001,648.9576037272727,734.5
,,,,,,,121039,,
,,,,,,,121789,,
332.2574485781698,5,308.06665,90.92974,366.13321869342377,75.73301319013463,159.8181818181818,122001,791.9508735454547,758.8
,,,,,,,122473,,
