eval mean 100 episode reward,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_returns,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,eval_eplenmean
,,73703,,,,,,,
502.4,39.01448330923842,74001,554.5781145454547,344.7304972980936,5,203.11794,185.17780333856805,55.042152,203.63636363636363
,,74608,,,,,,,
470.7,62.509147115764044,75001,304.9741926363637,358.4474255273826,3,179.58284,151.9201376637725,68.00912,127.45454545454545
,,75771,,,,,,,
446.6,58.91573361168187,76001,576.731369,469.95580081364415,6,215.97949,156.26038531162513,76.22194,243.54545454545453
,,76828,,,,,,,
452.3,66.22194120904278,77001,575.445362090909,561.0201044345412,5,238.16924,192.81731487897403,74.43267,208.1818181818182
,,77373,,,,,,,
483.9,68.20833019177816,78001,863.5113989090908,656.7547589716112,9,264.45804,198.39684948664274,76.863815,321.1818181818182
,,78228,,,,,,,
,,78767,,,,,,,
494.8,44.05286372674219,79001,535.7390523636363,358.48963876010407,5,213.00038,199.95050203955972,60.429367,194.72727272727272
,,79450,,,,,,,
514.9,73.43092784316697,80001,533.6883972727272,404.10047062150966,5,229.95177,187.61516604182688,82.13843,209.0909090909091
,,80042,,,,,,,
,,80833,,,,,,,
582.9,48.92761096192101,81001,917.7826759999999,1256.9964946757625,8,269.12048,223.69671337058298,53.93365,312.09090909090907
,,81623,,,,,,,
619.2,60.23959172470148,82001,787.158252,1147.1185150221843,7,261.2703,207.50807508108562,64.731255,264.0
,,82276,,,,,,,
582.7,133.5457467974995,83001,155.3437882727273,144.3653142153598,2,196.47534,102.07597201131529,134.39087,85.72727272727273
,,83014,,,,,,,
,,83315,,,,,,,
,,83944,,,,,,,
585.7,111.2441322686468,84001,328.857682,179.5568365304616,3,216.0169,139.37866784835094,124.28726,135.36363636363637
,,84603,,,,,,,
538.1,152.1541077877378,85001,108.12303645454546,109.34406492139887,1,197.44298,79.68789277819218,155.60672,64.54545454545455
,,85030,,,,,,,
,,85294,,,,,,,
,,85952,,,,,,,
