eval_discount_q,eval_qs_difference,eval_eplenmean,eval_returns,eval mean 100 episode reward,eval_ep_rewmean,eval_qs,total timesteps,eval_abs_qs_difference,eval_time_elapsed
,,,,,,,48415,,
,,,,,,,48614,,
,,,,,,,48900,,
188.16831055579968,112.83115749998379,47.27272727272727,185.30420927563844,303.1,239.28510963636364,220.6834,49001,121.32959,1
,,,,,,,49104,,
,,,,,,,49337,,
,,,,,,,49660,,
,,,,,,,49968,,
288.37317222776096,72.70983294046022,95.63636363636364,443.0144426645,319.7,450.31584845454546,240.56783,50001,75.97818,3
,,,,,,,50350,,
,,,,,,,50559,,
,,,,,,,50816,,
188.16757882595786,163.96053063952095,45.90909090909091,239.90724335769534,308.1,235.92539299999999,269.09616,51001,166.07272,1
,,,,,,,51051,,
,,,,,,,51218,,
,,,,,,,51515,,
,,,,,,,51704,,
,,,,,,,51966,,
269.8856406305344,57.47267073021133,76.0909090909091,319.50431709469126,318.1,395.6805779090909,217.26447,52001,70.91744,2
,,,,,,,52282,,
,,,,,,,52579,,
,,,,,,,52941,,
266.9919950567366,94.42247210422374,84.27272727272727,375.2188416985481,328.3,391.60604236363633,242.06935,53001,96.705925,2
,,,,,,,53350,,
,,,,,,,53642,,
,,,,,,,53873,,
284.16156143356255,75.68430475867923,81.45454545454545,459.7665738992052,323.8,418.7576231818182,243.6897,54001,82.6776,2
,,,,,,,54213,,
,,,,,,,54509,,
,,,,,,,54785,,
195.3564214076553,144.3731559268676,54.72727272727273,257.1127435105368,314.8,252.8194611818182,249.50926,55001,144.5215,1
,,,,,,,55064,,
,,,,,,,55305,,
,,,,,,,55533,,
,,,,,,,55812,,
192.0862056848636,133.28256656184257,55.45454545454545,243.75322996916196,311.9,246.62601336363633,234.45703,56001,133.28258,1
,,,,,,,56051,,
,,,,,,,56305,,
,,,,,,,56657,,
,,,,,,,56949,,
289.93029340868736,55.61134222687411,83.27272727272727,278.7903474990795,339.5,435.1554725454546,230.33063,57001,66.33194,2
,,,,,,,57327,,
,,,,,,,57771,,
316.1959270546483,35.62353778129658,96.9090909090909,661.5493400323744,364.5,503.28319999999985,227.32466,58001,69.653145,3
,,,,,,,58078,,
,,,,,,,58486,,
,,,,,,,58824,,
308.08045479760534,69.56911216786666,100.72727272727273,440.66590126155074,374.7,494.5617053636363,248.7105,59001,81.06745,3
,,,,,,,59321,,
,,,,,,,59643,,
,,,,,,,59926,,
247.11853687927066,114.55220437302522,76.27272727272727,284.0629793769972,386.2,359.5411572727272,252.67352,60001,117.72947,2
,,,,,,,60355,,
,,,,,,,60739,,
262.37110704477493,68.27033308023896,76.0909090909091,333.69352232971937,386.0,377.1538366363636,218.83868,61001,77.231964,2
,,,,,,,61096,,
,,,,,,,61460,,
,,,,,,,61787,,
338.377269942595,84.60762806673138,118.36363636363636,484.3640012511018,406.7,584.0195623636363,286.99677,62001,90.41889,3
,,,,,,,62184,,
,,,,,,,62621,,
313.77278280733606,105.7647136768545,101.45454545454545,489.18541452214794,415.9,498.66895863636364,289.53357,63001,108.3417,3
,,,,,,,63043,,
,,,,,,,63527,,
,,,,,,,63918,,
299.82033395945007,77.10493194668669,90.72727272727273,461.4408432499,435.8,462.0057312727273,257.22107,64001,80.167015,3
,,,,,,,64279,,
,,,,,,,64649,,
337.7486138979467,77.02215388438725,117.63636363636364,558.7996634963065,472.5,587.2819005454544,280.53088,65001,86.61093,3
,,,,,,,65029,,
,,,,,,,65360,,
