eval_eplenmean,eval_discount_q,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_returns,eval_time_elapsed,eval_qs,total timesteps
90.63636363636364,297.6229750486491,118.79128582333502,456.5085400909091,123.32898,547.0,380.70875588345,2,293.72977,72001
,,,,,,,,,72154
,,,,,,,,,72535
,,,,,,,,,72968
130.63636363636363,346.10539146101735,84.10578017098268,632.1760714545454,101.62603,564.5,352.50611123211536,4,294.03342,73001
,,,,,,,,,73430
,,,,,,,,,73924
105.0909090909091,306.1639081772771,86.61246761124957,497.3321246363636,92.38518,555.5,465.42159180643347,3,264.25525,74001
,,,,,,,,,74438
,,,,,,,,,74932
105.27272727272727,306.51505317913774,111.00048525823063,492.66912863636355,115.39536,551.5,494.38378892359174,3,285.26532,75001
,,,,,,,,,75345
,,,,,,,,,75738
104.72727272727273,325.214046048739,105.44294513079981,531.8570675454545,110.52971,549.2,631.7911200524748,3,302.27478,76001
,,,,,,,,,76067
,,,,,,,,,76488
108.45454545454545,324.59585668192466,97.23996306611849,548.5137541818182,108.627975,546.6,618.4422481386439,3,292.27286,77001
,,,,,,,,,77039
,,,,,,,,,77473
86.18181818181819,292.2565873126542,83.832131945822,438.81485990909096,89.76286,541.9,505.31098833873966,2,255.09872,78001
,,,,,,,,,78007
,,,,,,,,,78464
,,,,,,,,,78925
97.18181818181819,318.6808210759319,97.30946818491685,505.1491711818182,99.16402,530.5,600.0766125064055,3,289.92902,79001
,,,,,,,,,79313
,,,,,,,,,79715
114.27272727272727,348.2496046154025,40.13061875630588,592.7080294545455,62.641026,522.5,569.8486576256952,3,255.21362,80001
,,,,,,,,,80176
,,,,,,,,,80523
,,,,,,,,,80774
156.36363636363637,373.1094205682733,39.75095052321346,749.3977912727273,56.41979,551.9,467.6094850469582,5,269.5672,81001
,,,,,,,,,81178
,,,,,,,,,81587
109.0909090909091,333.75697226383403,65.48175878627276,555.1149784545454,76.35947,542.5,539.734296179549,3,268.0239,82001
,,,,,,,,,82145
,,,,,,,,,82574
115.36363636363636,350.5217420914462,30.05653962049812,596.3173407272727,60.004433,553.1,590.9170800095815,3,245.02565,83001
,,,,,,,,,83085
,,,,,,,,,83768
