eval_qs_difference,eval_qs,total timesteps,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_returns,eval mean 100 episode reward,eval_time_elapsed
40.35924982794642,280.86322,85001,241.08720615090945,296.54545454545456,44.6657,951.5196516363637,969.6384134497176,632.8,8
,,85562,,,,,,,
42.51880037581286,280.24942,86001,245.2715453071037,263.45454545454544,43.629086,872.9183715454546,811.0989899581132,667.8,7
,,86468,,,,,,,
194.4553911137623,293.60568,87001,137.057513419162,117.72727272727273,195.02881,274.350787,210.7617257988042,627.0,3
,,87480,,,,,,,
41.07595768671056,284.4188,88001,242.32277158283134,277.3636363636364,42.595184,914.9205128181819,924.3164821963443,623.4,8
,,88531,,,,,,,
,,88933,,,,,,,
105.58931942060804,284.6313,89001,197.27844778219912,226.27272727272728,107.69628,631.9804315454545,830.9422267182962,658.9,6
,,89976,,,,,,,
147.61377622221354,325.73712,90001,208.35554173782256,201.0909090909091,148.42726,581.4802368181818,485.7179364217554,696.0,5
,,90786,,,,,,,
51.16915315107945,285.66882,91001,239.75512787398475,267.1818181818182,56.118942,863.8927025454545,872.5762378541262,686.2,7
,,91593,,,,,,,
48.30808165819649,290.79794,92001,239.7062082834932,290.3636363636364,51.599575,943.4098243636362,720.3849600262508,694.2,8
,,92429,,,,,,,
58.462041297821024,282.36523,93001,238.4317556785545,222.0,60.33342,733.1134087272727,733.1936511349983,740.7,6
,,93498,,,,,,,
79.79272816825727,286.09445,94001,226.98056739668107,222.1818181818182,83.458694,683.1194173636363,687.7599900905792,727.5,6
,,94341,,,,,,,
,,94813,,,,,,,
227.48891331482398,323.08304,95001,132.37338293008568,102.36363636363636,227.4889,228.9154682727273,229.8022982548112,661.5,2
,,95651,,,,,,,
42.09526031339597,276.47125,96001,240.9782701664062,230.1818181818182,43.012936,778.2325678181817,806.1850338805692,695.7,6
,,96802,,,,,,,
48.90067094813697,286.20203,97001,240.66521901639283,288.0,51.735474,921.6884664545454,930.615788036633,709.3,8
,,97816,,,,,,,
29.38038896644481,286.8564,98001,252.67715431512124,268.8181818181818,31.544928,943.1770142727272,950.76436629326,739.5,7
,,98710,,,,,,,
64.75870729291968,277.84537,99001,231.97910150069853,192.63636363636363,66.351166,644.755297,512.9810383665888,746.0,5
