eval_eplenmean,eval_returns,eval_discount_q,eval mean 100 episode reward,eval_qs,eval_abs_qs_difference,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean,total timesteps
1000.0,7701.488447284046,588.3177584936009,7660.2,724.3599,98.61823,13.496480908318683,29,7691.069181545455,149001
1000.0,7875.264261752189,603.5872201481462,7690.9,730.9929,106.98898,2.9150147775162725,29,7878.330510272726,150001
1000.0,7681.524841064174,597.6733342374654,7710.4,728.94934,98.08759,15.918225233840076,29,7722.007645727273,151001
,,,,,,,,,152000
1000.0,7461.732569963463,578.6690414860534,7682.7,733.1621,81.62656,46.56119329496658,29,7438.891068090909,152001
1000.0,7713.243143726242,596.207000586857,7678.4,735.44135,94.573235,23.10595086420185,29,7713.598874181818,153001
1000.0,7817.8647512501275,599.2756773640431,7707.9,736.205,98.80468,15.139328298171769,28,7803.9398084545455,154001
1000.0,7591.805100153366,596.830908142007,7701.1,732.205,95.45615,20.27903981873516,28,7710.122704727272,155001
,,,,,,,,,156000
1000.0,7392.873121508529,580.1499317311174,7665.9,737.0798,78.88398,54.13845875684718,28,7403.761407818182,156001
1000.0,7662.020355075763,587.7998322109446,7670.4,736.94885,91.36122,26.854762220926833,28,7682.86306990909,157001
1000.0,7751.036526212013,591.3585686290809,7667.9,734.19604,93.09223,26.86430912000708,28,7658.762174454546,158001
1000.0,7734.445858919171,595.3595501474605,7657.0,740.4641,93.87829,25.01748281489896,28,7743.872628272728,159001
,,,,,,,,,160000
1000.0,7744.466833137828,585.2406694027018,7651.4,735.9049,94.46237,23.109537301277214,28,7707.341961909091,160001
1000.0,7751.20062868883,601.4875910084403,7684.7,745.5727,92.771614,26.64096008040548,28,7784.790265090909,161001
1000.0,7985.846169849964,609.5801016051083,7709.3,740.31696,104.76685,9.250285739884434,29,7914.151387272728,162001
1000.0,7668.939326668352,594.7809124128454,7701.9,742.90436,91.118225,32.664267542222134,29,7691.234672818181,163001
,,,,,,,,,164000
1000.0,7773.354382225444,596.6584702671433,7705.1,737.222,97.23605,19.890251599412863,29,7764.009329181819,164001
1000.0,7909.849856983699,603.7112035389223,7749.9,740.39075,101.57458,11.549503419095128,29,7886.086195181819,165001
1000.0,8040.603142529631,607.9605521968766,7796.9,746.17053,106.755974,-0.5333224533686586,29,8068.918772181817,166001
1000.0,7610.734002525829,585.9283364835868,7792.5,737.16833,85.23701,38.91357124740943,29,7562.616468181818,167001
,,,,,,,,,168000
1000.0,7645.688772039806,593.5521774375908,7781.2,741.9894,87.43844,36.176941826597755,29,7645.741424636362,168001
1000.0,7736.3711780135745,601.9063949297208,7786.2,747.975,91.401024,30.35062428452426,28,7772.131010545455,169001
1000.0,7898.034878269366,601.6525661368262,7792.3,746.55176,96.09602,22.049588061962254,28,7840.657460454546,170001
1000.0,7846.17815482171,598.2705456859761,7783.3,746.11774,94.82193,26.348181413772792,28,7789.983449636363,171001
,,,,,,,,,172000
1000.0,7802.106678026722,592.7366955882106,7784.5,753.825,88.327324,37.82719767110193,28,7746.787307636362,172001
1000.0,7937.233802395509,612.6449751449592,7803.4,754.9887,97.97874,21.231665115169985,28,7944.088959090909,173001
1000.0,7888.046902390166,603.3698311283131,7801.6,753.5069,93.45935,30.214243251966682,28,7830.26233709091,174001
1000.0,7758.884062709482,592.2830295010924,7763.2,756.9682,84.934364,46.18815540261346,28,7694.160763000001,175001
,,,,,,,,,176000
1000.0,7909.597191649076,609.0211544018997,7800.9,755.55255,102.66894,16.8472461701154,29,7989.98377190909,176001
1000.0,7896.208160584839,608.0876223595092,7842.5,752.63696,101.86883,11.21476034734181,29,8016.229104545454,177001
1000.0,8641.446417989195,609.1914300432304,7920.5,758.117,134.63391,-33.93975673895511,29,8523.666683,178001
1000.0,8025.711802906574,614.5611675171848,7955.5,760.3971,104.4794,12.710602205335435,29,8085.280925,179001
,,,,,,,,,180000
1000.0,7763.109247318016,593.9785714379282,7945.2,761.82837,81.748405,52.11771503295494,29,7685.145548727273,180001
1000.0,8572.2957691787,618.0085946862947,8023.7,760.82874,134.32997,-31.345949757506766,29,8533.574749454545,181001
1000.0,8013.78112252109,614.4290496113805,8050.8,761.79144,104.90099,11.582717551494325,29,8110.372289727273,182001
1000.0,8060.741258208838,613.1422269827241,8073.8,762.44586,102.191986,16.74523836331458,29,8064.016983636363,183001
,,,,,,,,,184000
1000.0,8410.421197859212,613.0830401267026,8149.9,761.6158,126.303535,-21.615490047557977,28,8439.264614181819,184001
1000.0,7787.305816387781,597.1122765305286,8155.8,762.9723,95.275154,27.34425736268869,28,7947.4219797272735,185001
1000.0,7879.0713376390295,601.4254124774493,8146.9,764.91974,94.705666,30.00605436366775,28,7944.5482799090905,186001
1000.0,7843.615863840205,598.2722785657476,8086.1,766.475,87.048546,41.52820108378994,28,7841.757023363637,187001
,,,,,,,,,188000
1000.0,7707.269134283403,600.988114537715,8051.2,768.3228,88.53491,42.37503840911759,28,7854.456331727272,188001
