eval_eplenmean,eval_abs_qs_difference,eval_qs,eval_returns,total timesteps,eval_discount_q,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean
372.0,33.224335,308.19122,1306.5237621406918,88001,253.73805093512908,993.3,30.857312421389633,10,1284.2672178181817
,,,,88138,,,,,
287.45454545454544,36.090935,299.18307,988.8937825497875,89001,258.8146619868658,1014.9,34.55974567337431,8,1016.9355774545455
,,,,89234,,,,,
196.36363636363637,70.23907,283.1397,639.9315832630508,90001,231.30638780166808,982.2,69.83862765086884,5,647.8703951818181
,,,,90119,,,,,
,,,,90977,,,,,
337.0,32.18435,310.2755,1201.5307983901487,91001,257.5458518727692,989.9,29.580205918356533,9,1201.3130827272726
267.90909090909093,45.759842,312.40027,855.738817741695,92001,262.2206375786857,998.7,42.38240206180182,7,989.9311565454547
,,,,92420,,,,,
269.1818181818182,36.923557,301.94592,1004.6500739536339,93001,261.6587011616852,1000.6,35.619503199743,7,976.5803329999999
,,,,93370,,,,,
277.8181818181818,62.50569,309.67798,823.025707606196,94001,250.43551390439214,1000.5,61.16572153162695,7,942.2472999999999
,,,,94380,,,,,
293.27272727272725,23.12103,292.70428,996.1338770735218,95001,265.9242944723312,1000.6,5.6574512261172,8,1107.8207247272728
,,,,95187,,,,,
316.8181818181818,34.940853,305.69763,1152.7182119583572,96001,255.06673726718344,1027.0,27.339228688674893,9,1146.6008259090909
,,,,96180,,,,,
296.90909090909093,66.62536,314.12482,769.3720622471806,97001,243.6037287769389,1011.2,65.40299792835143,8,982.1246886363638
,,,,97161,,,,,
327.54545454545456,16.741812,300.45944,1228.5792510057445,98001,267.13102621447433,1022.2,7.58145754818355,9,1226.648564818182
,,,,98232,,,,,
298.90909090909093,32.847782,293.97888,920.1017512776231,99001,246.60911392673867,1061.4,27.69127000229789,8,1042.090595090909
,,,,99260,,,,,
239.9090909090909,44.02202,289.83893,840.5263416597137,100001,247.1329234713664,1032.2,41.18430171900824,6,841.2265939090908
,,,,100346,,,,,
259.72727272727275,37.025257,294.57355,893.136089761928,101001,255.5996526176651,1022.7,35.0237967955261,7,927.7443443636365
,,,,101226,,,,,
,,,,101954,,,,,
274.72727272727275,65.78348,303.52893,892.6334361696726,102001,247.42889855578116,1014.0,64.24587002442166,7,902.4711702727272
,,,,102960,,,,,
228.72727272727272,100.775604,296.90155,637.4730897372326,103001,221.69279142694714,985.4,100.6658113736024,6,674.9113645454545
276.27272727272725,112.91016,342.55026,1037.646023759279,104001,240.9566341342446,962.8,111.85497440761488,7,900.2892337272726
,,,,104263,,,,,
195.72727272727272,129.72127,312.5715,858.8838302591988,105001,216.7037821567621,906.4,118.05942225365719,5,611.3339172727273
,,,,105382,,,,,
291.3636363636364,39.791134,296.01062,1012.2309911863985,106001,243.6022143000125,900.7,38.436216087988015,8,992.5404419090909
,,,,106301,,,,,
318.1818181818182,26.536327,290.02438,1229.1877623566072,107001,240.4148089025407,890.2,20.546934162046778,9,1106.4193913636364
,,,,107336,,,,,
292.27272727272725,38.90305,315.84497,1200.2070071300868,108001,264.7848799829062,893.0,35.896196784729106,8,1083.9400259090908
,,,,108383,,,,,
259.8181818181818,40.33957,295.40915,953.6455085037833,109001,256.112445520739,901.3,36.154167693155195,7,927.5731438181818
,,,,109481,,,,,
237.0,48.65248,286.65805,871.282574352025,110001,249.52754597717177,894.1,40.16157479091937,6,833.0121009090909
,,,,110987,,,,,
228.27272727272728,48.25856,288.51456,772.8843270550178,111001,250.15043649034524,882.8,47.4668690495181,6,799.7108872727273
,,,,111843,,,,,
313.8181818181818,53.137424,309.80646,1127.973674112396,112001,240.3330536388996,916.7,48.05501370550976,9,1067.1718523636364
,,,,112937,,,,,
255.27272727272728,97.00647,301.55392,1082.6634509635467,113001,210.2879896588057,925.0,88.191614225892,7,826.6932250909092
234.0909090909091,98.78569,319.02304,761.9373787448121,114001,232.62798594513103,934.9,98.10673988423923,6,774.8958871818181
,,,,114052,,,,,
289.09090909090907,38.82005,298.70984,971.4888378689895,115001,253.10260082920377,938.0,34.97186691956086,8,1014.057134181818
,,,,115055,,,,,
267.27272727272725,119.44199,347.60995,1111.2229763328571,116001,243.76890457189663,914.0,119.19442872183704,7,860.3206407272727
,,,,116206,,,,,
310.1818181818182,39.990856,303.39847,949.1786372887029,117001,246.23368133489018,914.0,35.974709060708975,8,1081.3525204545456
,,,,117336,,,,,
390.45454545454544,42.600277,313.76993,1271.2004320066137,118001,245.8384395068829,948.9,40.11386039210964,11,1316.5048789090908
,,,,118423,,,,,
241.1818181818182,55.888687,282.1235,742.4976790996451,119001,243.06632399633102,950.6,52.80385152338197,6,794.5438973636363
,,,,119185,,,,,
233.0909090909091,153.05003,324.14627,587.6228512663452,120001,180.89678357290157,941.6,150.73865773133437,6,736.9964240909092
,,,,120570,,,,,
351.72727272727275,21.830612,302.32382,1238.7094917340692,121001,247.34310992316205,961.0,16.82645068187369,10,1250.7584077272727
,,,,121780,,,,,
340.1818181818182,40.385624,313.04846,1212.1610281701412,122001,261.0452399437916,1003.6,33.693773775664646,9,1210.5524952727274
,,,,122847,,,,,
244.63636363636363,64.59975,290.83557,744.1310225099772,123001,239.52119301206565,1006.4,63.60620091286716,6,794.1942765454544
303.72727272727275,32.64004,287.35983,1013.36510172146,124001,255.86308195576927,1014.0,15.993851497002483,8,1079.696378181818
,,,,124096,,,,,
254.36363636363637,106.419754,328.51794,495.95641397231486,125001,239.22901777867864,1013.7,105.78440949403704,7,824.1464608181818
,,,,125397,,,,,
279.72727272727275,49.37019,304.45615,987.4390903709393,126001,257.28080613850085,997.6,47.191855433835215,8,975.1228497272729
,,,,126049,,,,,
217.36363636363637,74.6435,298.08347,727.3375028738033,127001,242.162163316636,942.0,72.85598108053442,6,729.6297905454544
,,,,127031,,,,,
,,,,127947,,,,,
281.0,28.34503,293.74182,829.7964785647821,128001,257.13026439711587,954.5,25.337855095296092,8,1015.0288206363638
,,,,128765,,,,,
230.9090909090909,70.758,293.74908,752.838761726533,129001,241.4658149356457,949.3,67.87623948594454,6,760.8582363636364
,,,,129200,,,,,
